arm,impostor_id,surface_seed,frac,rotation_deg,degradation,degradation_param,boundaries_spanned,band_first,band_last,top_sheet,top_aggregate,verdict_001,aggregate_001,coverage_001,renormalised_001,agr_cascade_ratio,agr_duty,agr_phase_duty_identity,agr_colour_pair
genuine,,1,0.1,0.0,none,,1,1,2,bar-cascade-001,0.4332,candidate,0.4332,1.0,0.4332,0.8495,0.6623,0.0,0.9215
genuine,,1,0.1,0.0,none,,2,2,4,bar-cascade-001,0.2875,not_recognised,0.2875,1.0,0.2875,0.6667,0.0,0.0,0.9634
genuine,,1,0.1,0.0,none,,1,3,4,bar-cascade-001,0.1541,not_recognised,0.1541,0.4,0.3854,,0.0,,0.9634
genuine,,1,0.1,0.0,none,,1,3,4,bar-cascade-001,0.1541,not_recognised,0.1541,0.4,0.3854,,0.0,,0.9634
genuine,,1,0.1,0.0,none,,2,2,4,bar-cascade-001,0.3187,not_recognised,0.3187,1.0,0.3187,0.6667,0.2184,0.0,0.9634
genuine,,1,0.1,0.0,none,,2,0,2,bar-cascade-001,0.4533,candidate,0.4533,1.0,0.4533,0.8831,0.4676,0.0,0.9606
genuine,,1,0.1,0.0,none,,2,0,2,bar-cascade-001,0.4355,candidate,0.4355,1.0,0.4355,0.8831,0.3867,0.0,0.9449
genuine,,1,0.1,0.0,none,,1,3,4,bar-cascade-001,0.4248,candidate,0.4248,1.0,0.4248,0.9943,0.1625,0.2565,0.9698
genuine,,2,0.1,0.0,none,,2,1,3,bar-cascade-001,0.3788,not_recognised,0.3788,1.0,0.3788,0.9525,0.0,0.0,0.9389
genuine,,2,0.1,0.0,none,,1,0,1,bar-cascade-001,0.4941,candidate,0.4941,1.0,0.4941,0.9167,0.8333,0.0,0.9726
genuine,,2,0.1,0.0,none,,1,0,1,bar-cascade-001,0.4975,candidate,0.4975,1.0,0.4975,0.9167,0.8549,0.0,0.9713
genuine,,2,0.1,0.0,none,,2,0,2,bar-cascade-001,0.3744,not_recognised,0.3744,1.0,0.3744,0.8831,0.0932,0.0,0.9065
genuine,,2,0.1,0.0,none,,1,1,2,bar-cascade-001,0.3656,not_recognised,0.3656,1.0,0.3656,0.8495,0.2685,0.0,0.9322
genuine,,2,0.1,0.0,none,,2,2,4,bar-cascade-001,0.2875,not_recognised,0.2875,1.0,0.2875,0.6667,0.0,0.0,0.9634
genuine,,2,0.1,0.0,none,,1,2,3,bar-cascade-001,0.2986,not_recognised,0.2986,1.0,0.2986,0.6667,0.0635,0.0,0.9713
genuine,,2,0.1,0.0,none,,2,2,4,bar-cascade-001,0.2873,not_recognised,0.2873,1.0,0.2873,0.6667,0.0,0.0,0.9624
genuine,,0,0.2,0.0,none,,2,2,4,bar-cascade-001,0.4001,candidate,0.4001,1.0,0.4001,0.8305,0.2682,0.0,0.9713
genuine,,0,0.2,0.0,none,,2,0,2,bar-cascade-001,0.5474,candidate,0.5474,1.0,0.5474,0.8831,0.9472,0.0,0.9574
genuine,,0,0.2,0.0,none,,3,1,4,bar-cascade-001,0.5352,candidate,0.5352,1.0,0.5352,0.9086,0.873,0.0,0.9713
genuine,,0,0.2,0.0,none,,3,1,4,bar-cascade-001,0.4921,candidate,0.4921,1.0,0.4921,0.9679,0.4786,0.0,0.9698
genuine,,0,0.2,0.0,none,,3,0,3,bar-cascade-001,0.4762,candidate,0.4762,1.0,0.4762,0.9668,0.3883,0.0,0.9574
genuine,,0,0.2,0.0,none,,2,1,3,bar-cascade-001,0.4055,candidate,0.4055,1.0,0.4055,0.9086,0.1999,0.0,0.9431
genuine,,0,0.2,0.0,none,,2,2,4,bar-cascade-001,0.4556,candidate,0.4556,1.0,0.4556,0.8305,0.6139,0.0,0.9624
genuine,,0,0.2,0.0,none,,3,1,4,bar-cascade-001,0.425,candidate,0.425,1.0,0.425,0.6667,0.8164,0.0,0.9485
genuine,,1,0.2,0.0,none,,2,2,4,bar-cascade-001,0.3498,not_recognised,0.3498,1.0,0.3498,0.6667,0.4005,0.0,0.9634
genuine,,1,0.2,0.0,none,,2,0,2,bar-cascade-001,0.5111,candidate,0.5111,1.0,0.5111,0.8831,0.7571,0.0,0.9606
genuine,,1,0.2,0.0,none,,2,1,3,bar-cascade-001,0.3735,not_recognised,0.3735,1.0,0.3735,0.9086,0.0,0.0,0.9713
genuine,,1,0.2,0.0,none,,2,2,4,bar-cascade-001,0.3935,not_recognised,0.3935,1.0,0.3935,0.8305,0.2327,0.0,0.9713
genuine,,1,0.2,0.0,none,,2,1,3,bar-cascade-001,0.4762,candidate,0.4762,1.0,0.4762,0.9086,0.5706,0.0,0.9574
genuine,,1,0.2,0.0,none,,2,1,3,bar-cascade-001,0.473,candidate,0.473,1.0,0.473,0.9086,0.5556,0.0,0.9522
genuine,,1,0.2,0.0,none,,3,0,3,bar-cascade-001,0.5462,candidate,0.5462,1.0,0.5462,0.9668,0.7532,0.0,0.9574
genuine,,1,0.2,0.0,none,,2,1,3,bar-cascade-001,0.4574,candidate,0.4574,1.0,0.4574,0.9086,0.4717,0.0,0.9574
genuine,,2,0.2,0.0,none,,3,0,3,bar-cascade-001,0.3718,not_recognised,0.3718,1.0,0.3718,0.9086,0.0,0.0,0.9606
genuine,,2,0.2,0.0,none,,2,0,2,bar-cascade-001,0.5441,candidate,0.5441,1.0,0.5441,0.8831,0.946,0.0,0.9449
genuine,,2,0.2,0.0,none,,2,0,2,bar-cascade-001,0.4499,candidate,0.4499,1.0,0.4499,0.8831,0.4392,0.0,0.9606
genuine,,2,0.2,0.0,none,,3,0,3,bar-cascade-001,0.4936,candidate,0.4936,1.0,0.4936,0.9668,0.4063,0.0601,0.9485
genuine,,2,0.2,0.0,none,,2,0,2,bar-cascade-001,0.4786,candidate,0.4786,1.0,0.4786,0.8831,0.5947,0.0,0.9513
genuine,,2,0.2,0.0,none,,3,1,4,bar-cascade-001,0.5637,candidate,0.5637,1.0,0.5637,0.9679,0.8606,0.0,0.9713
genuine,,2,0.2,0.0,none,,2,2,4,bar-cascade-001,0.2873,not_recognised,0.2873,1.0,0.2873,0.6667,0.0,0.0,0.9624
genuine,,2,0.2,0.0,none,,2,0,2,bar-cascade-001,0.5324,candidate,0.5324,1.0,0.5324,0.8831,0.8763,0.0,0.9585
genuine,,0,0.35,0.0,none,,3,1,4,bar-cascade-001,0.4086,candidate,0.4086,1.0,0.4086,0.9847,0.0,0.0,0.9713
genuine,,0,0.35,0.0,none,,3,1,4,bar-cascade-001,0.5398,candidate,0.5398,1.0,0.5398,0.9847,0.7032,0.0,0.9624
genuine,,0,0.35,0.0,none,,2,1,3,bar-cascade-001,0.4708,candidate,0.4708,1.0,0.4708,0.9086,0.5194,0.0,0.9662
genuine,,0,0.35,0.0,none,,3,0,3,bar-cascade-001,0.5137,candidate,0.5137,1.0,0.5137,0.9668,0.5682,0.0,0.9662
genuine,,0,0.35,0.0,none,,3,0,3,bar-cascade-001,0.5009,candidate,0.5009,1.0,0.5009,0.9668,0.5006,0.0,0.9713
genuine,,0,0.35,0.0,none,,3,0,3,bar-cascade-001,0.5921,candidate,0.5921,1.0,0.5921,0.9668,0.9843,0.0,0.9522
genuine,,0,0.35,0.0,none,,3,1,4,bar-cascade-001,0.3927,not_recognised,0.3927,1.0,0.3927,0.9372,0.0,0.0,0.9485
genuine,,0,0.35,0.0,none,,3,0,3,bar-cascade-001,0.5223,candidate,0.5223,1.0,0.5223,0.9668,0.6108,0.0,0.9713
genuine,,1,0.35,0.0,none,,3,1,4,bar-cascade-001,0.395,not_recognised,0.395,1.0,0.395,0.9372,0.0,0.0,0.9624
genuine,,1,0.35,0.0,none,,3,0,3,bar-cascade-001,0.517,candidate,0.517,1.0,0.517,0.9668,0.581,0.0,0.9713
genuine,,1,0.35,0.0,none,,2,1,3,bar-cascade-001,0.3924,not_recognised,0.3924,1.0,0.3924,0.9086,0.1091,0.0,0.9609
genuine,,1,0.35,0.0,none,,3,1,4,bar-cascade-001,0.4615,candidate,0.4615,1.0,0.4615,0.9372,0.3669,0.0,0.9485
genuine,,1,0.35,0.0,none,,3,1,4,bar-cascade-001,0.537,candidate,0.537,1.0,0.537,0.9847,0.6797,0.0,0.9713
genuine,,1,0.35,0.0,none,,3,1,4,bar-cascade-001,0.49,candidate,0.49,1.0,0.49,0.9847,0.4322,0.0,0.9698
genuine,,1,0.35,0.0,none,,3,1,4,bar-cascade-001,0.5686,candidate,0.5686,1.0,0.5686,0.9372,0.935,0.0,0.9389
genuine,,1,0.35,0.0,none,,2,1,3,bar-cascade-001,0.5038,candidate,0.5038,1.0,0.5038,0.9086,0.6944,0.0,0.9662
genuine,,2,0.35,0.0,none,,3,0,3,bar-cascade-001,0.5828,candidate,0.5828,1.0,0.5828,0.9668,0.922,0.0,0.9713
genuine,,2,0.35,0.0,none,,2,2,4,bar-cascade-001,0.3533,not_recognised,0.3533,1.0,0.3533,0.8305,0.0,0.0,0.9624
genuine,,2,0.35,0.0,none,,3,1,4,bar-cascade-001,0.4078,candidate,0.4078,1.0,0.4078,0.9847,0.0,0.0,0.9662
genuine,,2,0.35,0.0,none,,3,0,3,bar-cascade-001,0.5922,candidate,0.5922,1.0,0.5922,0.9668,0.9811,0.0,0.9574
genuine,,2,0.35,0.0,none,,3,1,4,bar-cascade-001,0.4082,candidate,0.4082,1.0,0.4082,0.9847,0.0247,0.0,0.94
genuine,,2,0.35,0.0,none,,3,1,4,bar-cascade-001,0.5138,candidate,0.5138,1.0,0.5138,0.9372,0.6609,0.0,0.9325
genuine,,2,0.35,0.0,none,,3,0,3,bar-cascade-001,0.4931,candidate,0.4931,1.0,0.4931,0.9668,0.4597,0.0,0.9713
genuine,,2,0.35,0.0,none,,3,1,4,bar-cascade-001,0.4623,candidate,0.4623,1.0,0.4623,0.9847,0.2922,0.0,0.9624
genuine,,0,0.5,0.0,none,,3,1,4,bar-cascade-001,0.4226,candidate,0.4226,1.0,0.4226,0.9372,0.156,0.0,0.9485
genuine,,0,0.5,0.0,none,,4,0,4,bar-cascade-001,0.526,candidate,0.526,1.0,0.526,0.9737,0.6016,0.0,0.9325
genuine,,0,0.5,0.0,none,,4,0,4,bar-cascade-001,0.4918,candidate,0.4918,1.0,0.4918,0.9907,0.3696,0.0,0.9713
genuine,,0,0.5,0.0,none,,4,0,4,bar-cascade-001,0.4392,candidate,0.4392,1.0,0.4392,0.9907,0.1005,0.0,0.9713
genuine,,0,0.5,0.0,none,,3,0,3,bar-cascade-001,0.5523,candidate,0.5523,1.0,0.5523,0.9668,0.7591,0.0,0.9713
genuine,,0,0.5,0.0,none,,3,0,3,bar-cascade-001,0.8244,identified,0.8244,1.0,0.8244,0.9668,0.9738,0.8957,0.9713
genuine,,0,0.5,0.0,none,,3,0,3,bar-cascade-001,0.5312,candidate,0.5312,1.0,0.5312,0.9668,0.6522,0.0,0.9713
genuine,,0,0.5,0.0,none,,4,0,4,bar-cascade-001,0.5864,candidate,0.5864,1.0,0.5864,0.9907,0.8556,0.0,0.9713
genuine,,1,0.5,0.0,none,,3,0,3,bar-cascade-001,0.5467,candidate,0.5467,1.0,0.5467,0.9668,0.7298,0.0,0.9713
genuine,,1,0.5,0.0,none,,4,0,4,bar-cascade-001,0.6144,candidate,0.6144,1.0,0.6144,0.9907,0.9968,0.0,0.9713
genuine,,1,0.5,0.0,none,,4,0,4,bar-cascade-001,0.6135,candidate,0.6135,1.0,0.6135,0.9907,0.9933,0.0,0.9713
genuine,,1,0.5,0.0,none,,3,1,4,bar-cascade-001,0.5629,candidate,0.5629,1.0,0.5629,0.9847,0.8386,0.0,0.94
genuine,,1,0.5,0.0,none,,3,0,3,bar-cascade-001,0.59,candidate,0.59,1.0,0.59,0.9668,0.9508,0.0,0.9713
genuine,,1,0.5,0.0,none,,4,0,4,bar-cascade-001,0.4086,candidate,0.4086,1.0,0.4086,0.9847,0.0,0.0,0.9713
genuine,,1,0.5,0.0,none,,4,0,4,bar-cascade-001,0.4973,candidate,0.4973,1.0,0.4973,0.9907,0.402,0.0,0.9662
genuine,,1,0.5,0.0,none,,3,0,3,bar-cascade-001,0.5747,candidate,0.5747,1.0,0.5747,0.9668,0.8751,0.0,0.9713
genuine,,2,0.5,0.0,none,,3,1,4,bar-cascade-001,0.5697,candidate,0.5697,1.0,0.5697,0.9372,0.9072,0.0,0.9698
genuine,,2,0.5,0.0,none,,3,0,3,bar-cascade-001,0.5205,candidate,0.5205,1.0,0.5205,0.9668,0.598,0.0,0.9713
genuine,,2,0.5,0.0,none,,3,0,3,bar-cascade-001,0.5073,candidate,0.5073,1.0,0.5073,0.9668,0.5277,0.0,0.9713
genuine,,2,0.5,0.0,none,,4,0,4,bar-cascade-001,0.6015,candidate,0.6015,1.0,0.6015,0.9907,0.3583,0.4203,0.9713
genuine,,2,0.5,0.0,none,,4,0,4,bar-cascade-001,0.523,candidate,0.523,1.0,0.523,0.9907,0.5536,0.0,0.9431
genuine,,2,0.5,0.0,none,,3,0,3,bar-cascade-001,0.5938,candidate,0.5938,1.0,0.5938,0.9668,0.9698,0.0,0.9713
genuine,,2,0.5,0.0,none,,4,0,4,bar-cascade-001,0.7942,identified,0.7942,1.0,0.7942,0.9668,0.9975,0.7617,0.9713
genuine,,2,0.5,0.0,none,,3,1,4,bar-cascade-001,0.5351,candidate,0.5351,1.0,0.5351,0.9847,0.6653,0.0,0.9698
genuine,,0,0.75,0.0,none,,4,0,4,bar-cascade-001,0.6021,candidate,0.6021,1.0,0.6021,0.9907,0.9332,0.0,0.9698
genuine,,0,0.75,0.0,none,,4,0,4,bar-cascade-001,0.5146,candidate,0.5146,1.0,0.5146,0.9737,0.5094,0.0,0.9698
genuine,,0,0.75,0.0,none,,4,0,4,bar-cascade-001,0.5405,candidate,0.5405,1.0,0.5405,0.9737,0.6406,0.0,0.9698
genuine,,0,0.75,0.0,none,,4,0,4,bar-cascade-001,0.6061,candidate,0.6061,1.0,0.6061,0.9737,0.9768,0.0,0.9698
genuine,,0,0.75,0.0,none,,4,0,4,bar-cascade-001,0.5735,candidate,0.5735,1.0,0.5735,0.9907,0.786,0.0,0.9698
genuine,,0,0.75,0.0,none,,4,0,4,bar-cascade-001,0.5836,candidate,0.5836,1.0,0.5836,0.9737,0.8573,0.0,0.9713
genuine,,0,0.75,0.0,none,,4,0,4,bar-cascade-001,0.5942,candidate,0.5942,1.0,0.5942,0.9907,0.8922,0.0,0.9698
genuine,,0,0.75,0.0,none,,4,0,4,bar-cascade-001,0.5385,candidate,0.5385,1.0,0.5385,0.9907,0.6087,0.0,0.9698
genuine,,1,0.75,0.0,none,,4,0,4,bar-cascade-001,0.5011,candidate,0.5011,1.0,0.5011,0.9737,0.4405,0.0,0.9698
genuine,,1,0.75,0.0,none,,4,0,4,bar-cascade-001,0.5343,candidate,0.5343,1.0,0.5343,0.9737,0.6097,0.0,0.9698
genuine,,1,0.75,0.0,none,,4,0,4,bar-cascade-001,0.5742,candidate,0.5742,1.0,0.5742,0.9737,0.7366,0.0559,0.9698
genuine,,1,0.75,0.0,none,,4,0,4,bar-cascade-001,0.4971,candidate,0.4971,1.0,0.4971,0.9737,0.4197,0.0,0.9698
genuine,,1,0.75,0.0,none,,4,0,4,bar-cascade-001,0.5928,candidate,0.5928,1.0,0.5928,0.9737,0.9064,0.0,0.9698
genuine,,1,0.75,0.0,none,,4,0,4,bar-cascade-001,0.5175,candidate,0.5175,1.0,0.5175,0.9907,0.5006,0.0,0.9698
genuine,,1,0.75,0.0,none,,4,0,4,bar-cascade-001,0.5712,candidate,0.5712,1.0,0.5712,0.9737,0.7971,0.0,0.9698
genuine,,1,0.75,0.0,none,,4,0,4,bar-cascade-001,0.5374,candidate,0.5374,1.0,0.5374,0.9737,0.6245,0.0,0.9698
genuine,,2,0.75,0.0,none,,4,0,4,bar-cascade-001,0.5801,candidate,0.5801,1.0,0.5801,0.9737,0.8415,0.0,0.9698
genuine,,2,0.75,0.0,none,,4,0,4,bar-cascade-001,0.4988,candidate,0.4988,1.0,0.4988,0.9737,0.4281,0.0,0.9698
genuine,,2,0.75,0.0,none,,4,0,4,bar-cascade-001,0.5188,candidate,0.5188,1.0,0.5188,0.9907,0.507,0.0,0.9698
genuine,,2,0.75,0.0,none,,4,0,4,bar-cascade-001,0.5308,candidate,0.5308,1.0,0.5308,0.9737,0.5914,0.0,0.9698
genuine,,2,0.75,0.0,none,,4,0,4,bar-cascade-001,0.487,candidate,0.487,1.0,0.487,0.9737,0.3684,0.0,0.9698
genuine,,2,0.75,0.0,none,,4,0,4,bar-cascade-001,0.5856,candidate,0.5856,1.0,0.5856,0.9737,0.8672,0.0,0.9713
genuine,,2,0.75,0.0,none,,4,0,4,bar-cascade-001,0.4624,candidate,0.4624,1.0,0.4624,0.9907,0.2203,0.0,0.9698
genuine,,2,0.75,0.0,none,,4,0,4,bar-cascade-001,0.5394,candidate,0.5394,1.0,0.5394,0.9737,0.6346,0.0,0.9698
genuine,,0,1.0,0.0,none,,4,0,4,bar-cascade-001,0.7701,identified,0.7701,1.0,0.7701,0.9737,0.7067,0.8147,0.9634
genuine,,0,1.0,0.0,none,,4,0,4,bar-cascade-001,0.6786,candidate,0.6786,1.0,0.6786,0.9737,0.8398,0.3735,0.9634
genuine,,0,1.0,0.0,none,,4,0,4,bar-cascade-001,0.6787,candidate,0.6787,1.0,0.6787,0.9737,0.7722,0.4243,0.9634
genuine,,0,1.0,0.0,none,,4,0,4,bar-cascade-001,0.7711,identified,0.7711,1.0,0.7711,0.9737,0.7067,0.8147,0.9698
genuine,,0,1.0,0.0,none,,4,0,4,bar-cascade-001,0.6024,candidate,0.6024,1.0,0.6024,0.9737,0.9596,0.0,0.9634
genuine,,0,1.0,0.0,none,,4,0,4,bar-cascade-001,0.7711,identified,0.7711,1.0,0.7711,0.9737,0.7067,0.8147,0.9698
genuine,,0,1.0,0.0,none,,4,0,4,bar-cascade-001,0.7701,identified,0.7701,1.0,0.7701,0.9737,0.7067,0.8147,0.9634
genuine,,0,1.0,0.0,none,,4,0,4,bar-cascade-001,0.593,candidate,0.593,1.0,0.593,0.9737,0.9121,0.0,0.9634
genuine,,1,1.0,0.0,none,,4,0,4,bar-cascade-001,0.7711,identified,0.7711,1.0,0.7711,0.9737,0.7067,0.8147,0.9698
genuine,,1,1.0,0.0,none,,4,0,4,bar-cascade-001,0.7701,identified,0.7701,1.0,0.7701,0.9737,0.7067,0.8147,0.9634
genuine,,1,1.0,0.0,none,,4,0,4,bar-cascade-001,0.5638,candidate,0.5638,1.0,0.5638,0.9737,0.7638,0.0,0.9634
genuine,,1,1.0,0.0,none,,4,0,4,bar-cascade-001,0.7711,identified,0.7711,1.0,0.7711,0.9737,0.7067,0.8147,0.9698
genuine,,1,1.0,0.0,none,,4,0,4,bar-cascade-001,0.8133,identified,0.8133,1.0,0.8133,0.9737,0.8157,0.8965,0.9634
genuine,,1,1.0,0.0,none,,4,0,4,bar-cascade-001,0.7711,identified,0.7711,1.0,0.7711,0.9737,0.7067,0.8147,0.9698
genuine,,1,1.0,0.0,none,,4,0,4,bar-cascade-001,0.7701,identified,0.7701,1.0,0.7701,0.9737,0.7067,0.8147,0.9634
genuine,,1,1.0,0.0,none,,4,0,4,bar-cascade-001,0.7711,identified,0.7711,1.0,0.7711,0.9737,0.7067,0.8147,0.9698
genuine,,2,1.0,0.0,none,,4,0,4,bar-cascade-001,0.6783,candidate,0.6783,1.0,0.6783,0.9737,0.8667,0.3534,0.9634
genuine,,2,1.0,0.0,none,,4,0,4,bar-cascade-001,0.5787,candidate,0.5787,1.0,0.5787,0.9737,0.8397,0.0,0.9634
genuine,,2,1.0,0.0,none,,4,0,4,bar-cascade-001,0.5838,candidate,0.5838,1.0,0.5838,0.9737,0.7625,0.0753,0.9634
genuine,,2,1.0,0.0,none,,4,0,4,bar-cascade-001,0.5667,candidate,0.5667,1.0,0.5667,0.9737,0.7788,0.0,0.9634
genuine,,2,1.0,0.0,none,,4,0,4,bar-cascade-001,0.53,candidate,0.53,1.0,0.53,0.9737,0.5909,0.0,0.9634
genuine,,2,1.0,0.0,none,,4,0,4,bar-cascade-001,0.7701,identified,0.7701,1.0,0.7701,0.9737,0.7067,0.8147,0.9634
genuine,,2,1.0,0.0,none,,4,0,4,bar-cascade-001,0.7711,identified,0.7711,1.0,0.7711,0.9737,0.7067,0.8147,0.9698
genuine,,2,1.0,0.0,none,,4,0,4,bar-cascade-001,0.7701,identified,0.7701,1.0,0.7701,0.9737,0.7067,0.8147,0.9634
genuine,,0,0.05,7.0,none,,1,1,2,bar-cascade-001,0.3703,not_recognised,0.3703,1.0,0.3703,0.8495,0.347,0.0,0.915
genuine,,0,0.05,7.0,none,,1,3,4,bar-cascade-001,0.1532,not_recognised,0.1532,0.4,0.383,,0.0,,0.9574
genuine,,0,0.05,7.0,none,,1,2,3,bar-cascade-001,0.2809,not_recognised,0.2809,1.0,0.2809,0.6667,0.0,0.0,0.9224
genuine,,0,0.05,7.0,none,,1,0,1,bar-cascade-001,0.3824,not_recognised,0.3824,1.0,0.3824,0.9167,0.3788,0.0,0.8205
genuine,,0,0.05,7.0,none,,1,2,3,bar-cascade-001,0.3911,not_recognised,0.3911,1.0,0.3911,0.6667,0.7782,0.0,0.9624
genuine,,0,0.05,7.0,none,,1,2,3,bar-cascade-001,0.1502,not_recognised,0.1502,0.4,0.3756,,0.0,,0.9389
genuine,,0,0.05,7.0,none,,1,2,3,bar-cascade-001,0.1488,not_recognised,0.1488,0.4,0.3721,,0.0,,0.9302
genuine,,0,0.05,7.0,none,,1,3,4,bar-cascade-001,0.154,not_recognised,0.154,0.4,0.385,,0.0,,0.9624
genuine,,1,0.05,7.0,none,,1,2,3,bar-cascade-001,0.3711,not_recognised,0.3711,1.0,0.3711,0.6667,0.7413,0.0,0.9302
genuine,,1,0.05,7.0,none,,1,1,2,bar-cascade-001,0.3161,not_recognised,0.3161,1.0,0.3161,0.8495,0.0,0.0,0.9137
genuine,,1,0.05,7.0,none,,1,0,1,bar-cascade-001,0.337,not_recognised,0.337,1.0,0.337,0.9167,0.1255,0.0,0.8213
genuine,,1,0.05,7.0,none,,2,2,4,bar-cascade-001,0.1546,not_recognised,0.1546,0.2,0.7729,,,,0.9662
genuine,,1,0.05,7.0,none,,1,3,4,bar-cascade-001,0.1552,not_recognised,0.1552,0.4,0.3879,,0.0,,0.9698
genuine,,1,0.05,7.0,none,,1,2,3,bar-cascade-001,0.3168,not_recognised,0.3168,1.0,0.3168,0.6667,0.0,0.1655,0.94
genuine,,1,0.05,7.0,none,,1,0,1,bar-cascade-001,0.4426,candidate,0.4426,1.0,0.4426,0.9167,0.7064,0.0,0.8306
genuine,,1,0.05,7.0,none,,1,1,2,bar-cascade-001,0.3089,not_recognised,0.3089,1.0,0.3089,0.8495,0.0,0.0,0.8687
